Dataset,Dose,Molecule,T1,T2,T3,TT,THH,TH1,THN
Wedge 35,5.43,A,92.48642933213793,95.25312363317848,169.91120172153617,6.451222062505167,66.98865451860257,0.4147599590504001,-4.58040520782437
Wedge 36,5.48,A,93.04283638793376,93.95393815533416,170.62946251085216,6.22231869381217,67.31172095525592,-1.528641986657746,-4.115656963242785
Wedge 1,5.45,B,93.44452075298796,93.27208901823974,171.7774104908249,4.738189279755588,69.45206850198548,1.0844155736580632,-4.425203462394379
Wedge 2,5.48,B,93.98442968411105,93.66158415467797,170.89988314648537,4.928213785306298,69.97343593981657,3.072956995278645,-5.292489908825317
Wedge 3,5.48,B,93.99223295195462,92.52410451025281,172.0864558722276,4.488583627547754,69.12561135838375,1.626117414514738,-4.360317267428016
Wedge 4,5.49,B,93.9111519736263,93.21905901194484,170.97836200832543,5.522128141524163,69.53571928590725,2.267803195616821,-4.226824947505705
Wedge 5,5.49,B,93.46374468547528,92.13588837837943,172.17831829827855,5.459762792347277,68.61304595132053,2.1843427053415354,-3.5531085848213877
Wedge 6,5.5,B,93.8094942711461,92.7132591924614,172.03869212906903,4.5622053108872365,69.0027949678081,1.4220978238321607,-4.223035053309459
Wedge 7,5.51,B,94.153778101628,92.4254193824663,172.10773125792974,4.358116374767874,69.69172180559353,1.5217120486549902,-4.104884397944886
Wedge 8,5.48,B,93.65176975229319,92.61574960492389,171.79011972627234,5.300181408419661,69.3444868256101,1.9289086751010842,-3.7561025677950113
Wedge 9,5.5,B,94.16468989637505,92.80944319804934,171.3016773832353,5.195605491560656,68.04500284847703,1.8151526154581177,-4.164090554083714
Wedge 10,5.44,B,93.73907353378354,92.96504348299749,171.67587534709298,4.9304585285373435,69.68231755112507,1.3035015438156705,-4.296488280139897
Wedge 11,5.44,B,93.73611722484216,92.57818775735267,172.32967020943798,4.35272175775269,69.55845265411891,1.7259409515773,-4.670187283223839
Wedge 12,5.41,B,93.50225474795226,92.60999522368253,172.56441354898024,4.2319237931789075,69.72366843472747,2.4067852977798765,-4.737890239692305
Wedge 13,5.42,B,94.56426576680246,92.57074766639671,171.00250282385633,5.480315169635773,68.6674333370384,2.810485835468384,-4.069288283137439
Wedge 14,5.43,B,94.07431287490736,91.77420181744253,171.964084668411,5.51182957320394,68.6713660667796,1.6563598182063544,-3.3929621070927993
Wedge 15,5.42,B,93.99768751575698,91.62834335636605,172.1632194579464,5.45669217660901,68.33324573380347,3.4097801015115294,-3.8430302362145596
Wedge 16,5.45,B,94.25895930253645,91.76909805580034,172.72555388260653,4.07276498365043,68.46513911616012,1.0298278110941368,-4.1084976016498445
Wedge 17,5.44,B,94.36734226130764,93.55137197709378,170.97904472995847,4.316298887145635,69.92610132318096,1.6559001679311507,-4.83493257232459
Wedge 18,5.49,B,94.42156786504003,91.45805504839649,172.06012711580465,5.3382812375477755,68.41869828281979,1.9247037051497813,-3.289324531118865
Wedge 19,5.46,B,95.10434127602679,93.16347802309285,170.79634286217288,4.0414911357974574,69.6302895219167,1.094858582275677,-4.913887354302801
Wedge 20,5.49,B,94.59070967687279,92.74384320557698,171.61340692023907,4.06548858709877,71.80355866558597,1.5150027800261938,-4.80919517417631
